OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
292431431,242,12th & U St NW,31268,38.916787,-77.028139,YES,NO,,,NO,19,12,397559.68883751,138769.17197864,,DC
292431432,243,S George Mason & Four Mile Run Dr,31063,38.852248,-77.105022,YES,NO,,,NO,10,1,390883.88955688,131609.71253131,,
292431433,244,Gravelly Point,31064,38.865029,-77.039511,YES,NO,,,NO,8,7,396570.98306025,133023.9941377,,
292431434,245,Pershing Dr & Wayne St,31065,38.880705,-77.08596,YES,NO,,,NO,2,9,392541.48161705,134766.91705858,,
292431435,246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,YES,NO,,,NO,3,7,393724.23923893,133273.6172133,,
292431436,247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,YES,NO,,,NO,2,11,399830.38573816,135504.16169424,,DC
292431437,248,8th & D St NW,31270,38.894851,-77.02324,YES,NO,,,NO,6,8,397983.92709424,136333.97809506,,DC
292431438,249,3rd & Elm St NW,31118,38.917622,-77.01597,YES,NO,,,NO,11,4,398615.04270249,138861.60900002,,DC
292431439,250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,YES,NO,,,NO,4,15,399588.4183945,138920.6660217,,DC
292431440,251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,YES,NO,,,NO,13,13,398792.6549073,136047.85718073,,DC
292431441,252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,YES,NO,,,NO,13,18,398805.40570038,135459.84686256,,DC
292431442,253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,YES,NO,,,NO,3,12,397764.90711108,135497.14874174,,DC
292431443,254,Hamlin & 7th St NE,31514,38.927497,-76.997194,YES,NO,,,NO,2,13,400243.30946072,139957.7002703,,DC
292431444,255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,YES,NO,,,NO,4,8,392484.11792553,132743.63730167,,
292431445,256,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,31068,38.856319,-77.11153,YES,NO,,,NO,12,3,390319.53509636,132062.29229881,,
292431446,257,Pershing Dr & N George Mason Dr,31069,38.871822,-77.107906,YES,NO,,,NO,8,3,390636.1213437,133782.8595827,,
292431447,258,Fenton St & New York Ave,32001,38.985404,-77.023082,YES,NO,,,NO,9,6,398000.17527578,146386.15892257,,
292431448,259,Bethesda Ave & Arlington Rd,32002,38.981103,-77.097426,YES,NO,,,NO,3,16,391558.50228853,145912.95751583,,
292431449,260,Montgomery Ave & Waverly St,32003,38.983838,-77.09221,YES,NO,,,NO,9,2,392010.75030162,146216.09966891,,
292431450,261,Fallsgrove Blvd & Fallsgrove Dr,32004,39.096312,-77.192672,YES,NO,,,NO,8,11,383332.89363763,158715.52157619,,
292431451,262,Traville Gateway Dr & Gudelsky Dr,32005,39.093783,-77.202501,YES,NO,,,NO,6,13,382482.01381244,158436.61187288,,
292430874,263,Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,YES,NO,,,NO,7,4,391636.2322207,146740.89768535,,
292430875,264,E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,YES,NO,,,NO,6,9,386910.31438669,157355.87132814,,
292430876,265,Cordell & Norfolk Ave,32008,38.98954,-77.098029,YES,NO,,,NO,7,4,391507.26098283,146849.60289105,,
292430877,266,Frederick Ave & Horners Ln,32009,39.094772,-77.145213,YES,NO,,,NO,6,2,387438.06215384,158536.96474703,,
292430878,267,Philadelphia & Maple Ave,32010,38.98128,-77.011336,YES,NO,,,NO,6,9,399017.79198301,145928.16270611,,
292430879,268,Maple & Ritchie Ave,32011,38.983627,-77.006311,YES,NO,,,NO,18,1,399453.20125046,146188.66055368,,
